elapsed_s,phase,rot_x_100,rot_y_100,lin_x_100,lin_y_100,pen,bias_z_100,num_fields,line_kind,raw
16.395817,0,2.18,3.47,-14.38,-53.59,0,938.50,6,imu,"2.18,3.47,-14.38,-53.59,0,938.50"
16.408824,0,1.08,5.91,11.82,-50.00,0,938.50,6,imu,"1.08,5.91,11.82,-50.00,0,938.50"
16.418775,0,,,,,,,1,text,1.2
16.418840,0,,,,,,,2,text,"0,3.4"
16.418925,0,,,,,,,2,text,"7,-6.97"
16.418994,0,,,,,,,2,text,",-41.0"
16.421634,0,,,,,,,3,text,"3,0,938.50"
16.432124,0,2.91,-12.54,-33.65,-72.01,0,938.50,6,imu,"2.91,-12.54,-33.65,-72.01,0,938.50"
16.445152,0,3.16,-6.55,-53.39,1.21,0,938.50,6,imu,"3.16,-6.55,-53.39,1.21,0,938.50"
16.455653,0,-0.02,-3.01,-46.69,-33.61,0,938.50,6,imu,"-0.02,-3.01,-46.69,-33.61,0,938.50"
16.468695,0,-0.39,0.78,-41.30,-21.28,0,938.50,6,imu,"-0.39,0.78,-41.30,-21.28,0,938.50"
16.481245,0,-0.51,-2.52,-26.35,-35.88,0,938.50,6,imu,"-0.51,-2.52,-26.35,-35.88,0,938.50"
16.491726,0,-0.39,-4.11,2.01,-28.22,0,938.50,6,imu,"-0.39,-4.11,2.01,-28.22,0,938.50"
16.504741,0,-1.61,-5.09,22.47,-41.15,0,938.50,6,imu,"-1.61,-5.09,22.47,-41.15,0,938.50"
16.514981,0,,,,,,,2,text,"-3.32,-3"
16.515064,0,,,,,,,2,text,".86,"
16.515287,0,,,,,,,4,text,"2.25,-45.45,0,938.50"
16.528294,0,-3.44,-4.72,-37.59,-38.27,0,938.50,6,imu,"-3.44,-4.72,-37.59,-38.27,0,938.50"
16.540933,0,-3.56,-4.72,-67.51,-45.45,0,938.50,6,imu,"-3.56,-4.72,-67.51,-45.45,0,938.50"
16.553543,0,-1.98,-3.62,-62.00,-71.53,0,938.50,6,imu,"-1.98,-3.62,-62.00,-71.53,0,938.50"
16.564060,0,-0.75,-3.01,-48.48,-79.31,0,938.50,6,imu,"-0.75,-3.01,-48.48,-79.31,0,938.50"
16.576577,0,0.10,-1.91,-35.92,-76.20,0,938.50,6,imu,"0.10,-1.91,-35.92,-76.20,0,938.50"
